Animal_ID,Diet,liver_triglyceride_content,liver_lipogenesis,time_on_diet,Cohort ,notes
20818,fat,28.99,19.23474402,four_weeks,1,
20819,fat,36.7,13.18439285,four_weeks,1,
20820,fat,26.66,11.10687266,four_weeks,1,
20821,fat,21.07,13.68943515,four_weeks,1,Contaminated with muscle at dissection
20822,fat,31.76,17.32766674,four_weeks,1,
20823,fat,15.08,10.51345792,four_weeks,1,
20824,fat,25.94,11.50602316,four_weeks,1,
20825,fat,13.4,6.834463986,four_weeks,1,
20826,fat,17.1,14.95201625,four_weeks,1,
20827,fat,34.59,9.40714193,four_weeks,1,
20828,chow,10.072,12.56400303,four_weeks,1,
20829,chow,4.663,19.43312233,four_weeks,1,
20830,chow,7.455,18.07383435,four_weeks,1,
20831,chow,8.043,NA,four_weeks,1,No Lipogenesis value
20832,chow,6.663,29.51166904,four_weeks,1,
20833,chow,5.38,NA,four_weeks,1,Contaminated with muscle at dissection
20834,chow,6.758,NA,four_weeks,1,No Lipogenesis value
20835,chow,7.079,32.78702433,four_weeks,1,
20836,chow,8.056,23.68317148,four_weeks,1,
20837,chow,9.149,33.62882003,four_weeks,1,
20838,starch,11.4,26.1843743,four_weeks,1,
20839,starch,37.1,26.55230989,four_weeks,1,
20840,starch,11.94,29.8301981,four_weeks,1,
20841,starch,11.67,24.02290224,four_weeks,1,
20842,starch,16.73,51.62517571,four_weeks,1,Contaminated with muscle at dissection
20843,starch,18.08,41.09327622,four_weeks,1,
20844,starch,10.36,28.91960633,four_weeks,1,
20845,starch,25.63,30.91704757,four_weeks,1,
20846,starch,20.35,40.19925897,four_weeks,1,
20847,starch,37.25,33.11811031,four_weeks,1,
21165,chow,7.13,16.18107945,four_weeks,2,
21166,chow,10.19,17.6482518,four_weeks,2,
21167,chow,20.05,18.06672358,four_weeks,2,Contaminated with muscle at dissection
21168,chow,10.9,13.09354601,four_weeks,2,
21169,chow,12.37,15.83007802,four_weeks,2,
21180,starch,19.77,16.14908025,four_weeks,2,
21181,starch,15.05,16.21022016,four_weeks,2,
21182,starch,18.52,34.59753954,four_weeks,2,Contaminated with muscle at dissection
21183,starch,11.69,14.03470758,four_weeks,2,
21184,starch,11.64,32.4501647,four_weeks,2,
21195,fat,10.47,10.62092508,four_weeks,2,
21196,fat,17.81,8.425275903,four_weeks,2,
21197,fat,11.49,9.184613708,four_weeks,2,
21198,fat,23.04,15.57847847,four_weeks,2,
21199,fat,13.09,12.20261794,four_weeks,2,
16693,chow,,,thirty_weeks,3,Strange looking liver
16694,chow,,,thirty_weeks,3,
16695,chow,,,thirty_weeks,3,
16696,chow,,,thirty_weeks,3,
16697,chow,,,thirty_weeks,3,
16698,chow,,,thirty_weeks,3,
16699,chow,,,thirty_weeks,3,
16700,chow,,,thirty_weeks,3,
16701,chow,,,thirty_weeks,3,
16702,chow,,,thirty_weeks,3,
16723,starch,,,thirty_weeks,3,
16724,starch,,,thirty_weeks,3,
16725,starch,,,thirty_weeks,3,
16726,starch,,,thirty_weeks,3,
16727,starch,,,thirty_weeks,3,
16728,starch,,,thirty_weeks,3,
16729,starch,,,thirty_weeks,3,
16730,starch,,,thirty_weeks,3,
16731,starch,,,thirty_weeks,3,
16732,starch,,,thirty_weeks,3,
16733,fat,,,thirty_weeks,3,
16734,fat,,,thirty_weeks,3,
16735,fat,,,thirty_weeks,3,
16736,fat,,,thirty_weeks,3,
16737,fat,,,thirty_weeks,3,
16738,fat,,,thirty_weeks,3,
16739,fat,,,thirty_weeks,3,
16740,fat,,,thirty_weeks,3,
16741,fat,,,thirty_weeks,3,
16742,fat,,,thirty_weeks,3,
